count rate: 
time (min),count rate (Hz)
0,55236
0.00205,53606
0.0038,54788
0.005533333333333334,54273
0.007316666666666667,54464
0.009050000000000001,55084
0.0108,54149
0.01253333333333333,54044
0.01428333333333333,55952
0.01603333333333333,53443
0.0178,53329
0.01951666666666667,55294
0.02128333333333333,54788
0.023,55160
0.0248,54769
0.02651666666666667,54035
0.02828333333333333,55522
0.03,54016
0.03176666666666667,52566
0.03351666666666667,53615
0.03541666666666667,54807
0.03713333333333334,54330
0.0389,53968
0.04065,54149
0.0424,53567
0.04413333333333334,55379
0.04588333333333334,54674
0.04761666666666667,54674
0.0494,54197
0.05113333333333334,53501
0.05288333333333333,55093
0.05461666666666667,55170
0.05636666666666667,54264
0.05813333333333334,52947
0.05988333333333333,54063
0.06161666666666667,54521
0.06336666666666667,53625
0.06510000000000001,54874
0.06688333333333334,54321
0.06875000000000001,53672
0.07050000000000001,55294
0.07223333333333333,55208
0.07401666666666666,53319
0.07573333333333333,53749
0.0775,52499
0.07921666666666667,53710
0.08098333333333334,54845
0.08273333333333334,54111
0.08450000000000001,53262
0.08621666666666666,54454
0.08798333333333333,53796
0.08969999999999999,53901
0.0915,54254
0.09321666666666667,54826
0.09498333333333334,54054
0.09669999999999999,52909
0.09846666666666667,54349
0.1002166666666667,54416
0.1021166666666667,52795
0.1038333333333333,53663
0.1056,54159
0.10735,54159
0.1091,53911
0.1108333333333333,53787
0.1125833333333333,54187
0.1143166666666667,54883
0.1161,54159
0.1178333333333333,53138
0.1195833333333333,53405
0.1213166666666667,54454
0.1230666666666667,54454
0.1248333333333333,55036
0.1265833333333333,53977
0.1283166666666667,53443
0.1300666666666667,53071
0.1318,53691
0.1335833333333333,53691
0.13545,52566
0.1372,53424
0.1389333333333333,52852
0.1407166666666667,55284
0.1424333333333333,54435
0.1442,53520
0.1459166666666667,54359
0.1476833333333333,54101
0.1494333333333333,53291
0.1512,55007
0.1529166666666667,53777
0.1546833333333333,54235
0.1564,53415
0.1582,55227
0.1599166666666667,53977
0.16165,54130
0.1634,54254
0.1651333333333333,55465
0.1669166666666667,53443
0.1688,53606
0.1705333333333333,53501
0.1723166666666667,55398
0.17405,53596
0.1758,54416
0.1775333333333333,53997
0.1792833333333333,55637
0.18105,54121
0.1828,54531
0.1845333333333333,53739
0.1862833333333333,53892
0.1880166666666667,53472
0.1898,53100
0.1915333333333334,53253
0.19325,53396
0.1950166666666667,53558
0.1967333333333333,53787
0.1985333333333333,54092
0.20025,53520
0.2021333333333333,52556
0.2039,52700
0.20565,53348
0.2074166666666667,53939
0.2091333333333333,53339
0.2109,53834
0.2126166666666666,53882
0.2144166666666667,53615
0.2161333333333333,53892
0.2178666666666667,52614
0.2196166666666667,54607
0.22135,54674
0.2231333333333333,53634
0.2248666666666667,55408
0.2266166666666667,53567
0.22835,53701
0.2301,53491
0.2318666666666667,55236
0.2336166666666667,54006
0.2355,54054
0.2372333333333333,52862
0.2390166666666667,54025
0.24075,54645
0.2425,52976
0.2442333333333333,54397
0.24595,54922
0.24775,55141
0.2494666666666667,54712
0.2512333333333333,53987
0.25295,53558
0.2547166666666666,55637
0.2564666666666667,54645
0.2582333333333333,54416
0.25995,54368
0.2617166666666667,54779
0.2634333333333333,53558
0.2652333333333333,53176
0.26695,53510
0.2688333333333333,53186
0.2706333333333333,54912
0.27235,54121
0.2741166666666667,54569
0.2758333333333333,55027
0.2775666666666667,55065
0.27935,54502
0.2810833333333333,54492
0.2828333333333333,53739
0.2845666666666667,54655
0.2863166666666667,54435
0.2880833333333334,54683
0.2898333333333333,54979
0.2915666666666666,53157
0.2933166666666667,54645
0.29505,54817
0.2968333333333333,55084
0.2985666666666667,55627
0.3003166666666666,54006
0.3021666666666666,54302
0.3039666666666667,54922
0.3056833333333334,54826
0.30745,54578
0.3091666666666667,55112
0.3109333333333333,55408
0.3126833333333333,54473
0.31445,55437
0.3161666666666667,54826
0.3179333333333333,53892
0.31965,54740
0.32145,54407
0.3231666666666667,53863
0.3249333333333333,55704
0.32665,53586
0.3284166666666666,54798
0.3301666666666667,53167
0.3319333333333334,54016
0.3336499999999999,54063
0.3355333333333334,55246
0.3373,54111
0.33905,54025
0.3407833333333333,55608
0.3425333333333333,54321
0.3442666666666667,54759
0.34605,55990
0.3477833333333333,55246
0.3495333333333334,54817
0.3512666666666667,53606
0.3530166666666667,54416
0.3547833333333333,54483
0.3565333333333333,54893
0.3582666666666666,55036
0.3600166666666667,54864
0.36175,54273
0.3635333333333334,54054
0.3652666666666667,54721
0.3670166666666667,53262
0.3688666666666667,52118
0.3706666666666666,53586
0.3723833333333333,53462
0.37415,55465
0.3758666666666667,54845
0.3776333333333334,55685
0.3793833333333334,54779
0.38115,55761
0.3828666666666667,55456
0.3846333333333333,54187
0.38635,55627
0.3881500000000001,55389
0.3898666666666666,53472
0.3916333333333333,53615
0.39335,53119
0.3951166666666667,54130
0.3968666666666667,54073
0.3986333333333333,54454
0.40035,56200
0.4022666666666667,54101
0.404,53100
0.40575,54216
0.4074833333333334,55246
0.4092333333333333,54149
0.411,54273
0.41275,53892
0.4144833333333333,55713
0.4162333333333333,53453
0.4179666666666667,53958
0.41975,54340
0.4214833333333334,54531
0.4232333333333333,55675
0.4249666666666667,55589
0.4267166666666667,54731
0.4284833333333333,55618
0.4302333333333334,55704
0.4319666666666667,55799
0.4337166666666666,53958
0.4356,54941
0.4373666666666667,54769
0.4390833333333333,54903
0.44085,54512
0.4425666666666667,55723
0.4443666666666666,55723
0.4460833333333333,54111
0.44785,54941
0.4495666666666667,54101
0.4513333333333333,54101
0.4530833333333333,54121
0.45485,53625
0.4565666666666666,54759
0.4583333333333333,54426
0.46005,55608
0.46185,54283
0.4635666666666667,53062
0.4653166666666667,54845
0.46705,54922
0.4689666666666667,54168
0.4707,53167
0.47245,55170
0.4741833333333333,54759
0.4759333333333334,55294
0.4777,54359
0.47945,53682
0.4811833333333333,53758
0.4829333333333333,54054
0.4846666666666666,55618
0.48645,55456
0.4881833333333334,55990
0.4899333333333333,54597
0.4916666666666666,54817
0.4934166666666667,54826
0.4951833333333333,54416
0.4969333333333333,53977
0.49865,53195
0.5004166666666666,54950
0.5023000000000001,53844
0.5040666666666667,53625
0.5057833333333334,55265
0.5075499999999999,53510
0.5093,54454
0.5110666666666667,54244
0.5127833333333334,55055
0.5145500000000001,54702
0.5162666666666667,53749
0.5180666666666667,56018
0.5197833333333334,53739
0.52155,54035
0.5232666666666667,54121
0.5250333333333334,54950
0.5267833333333333,54798
0.5285333333333333,53901
0.5302666666666667,54254
0.5320166666666667,56056
0.5337499999999999,54407
0.5356666666666666,55494
0.5374,53462
0.5391499999999999,54960
0.5408833333333334,54616
0.5426666666666667,56619
0.5444,54082
0.54615,53043
0.5478833333333333,53997
0.5496333333333333,53558
0.5514,54683
0.55315,55055
0.5548833333333333,53853
0.5566333333333334,56123
0.5583666666666667,54883
0.56015,53863
0.5618666666666667,55541
0.5636333333333333,54903
0.56535,54426
0.5670833333333333,55036
0.5690000000000001,54492
0.5707666666666668,55370
0.5724833333333332,55160
0.5742499999999999,54693
0.5760000000000001,54063
0.5777666666666667,54473
0.5794833333333334,54121
0.58125,54836
0.5829666666666667,52947
0.5847666666666667,54893
0.5864833333333334,55007
0.5882333333333333,53834
0.5899666666666668,54931
0.5917166666666667,54264
0.5934833333333334,54845
0.5952333333333333,55980
0.5969666666666666,55055
0.5986833333333333,56276
0.60045,54168
0.6023666666666667,55208
0.6041000000000001,54302
0.60585,55398
0.6075833333333333,55246
0.6093666666666666,54101
0.6111,54960
0.61285,54378
0.6145833333333334,54130
0.6163333333333333,55055
0.6181,54244
0.61985,54378
0.6215666666666666,54302
0.6233000000000001,52480
0.62505,52642
0.6268166666666667,53958
0.6285666666666666,54378
0.6303,54254
0.63205,53977
0.6337833333333334,54626
0.6357,53615
0.6374666666666666,55065
0.6391833333333333,54874
0.64095,54464
0.6426999999999999,54569
0.6444666666666666,54149
0.6461833333333333,54616
0.64795,55446
0.6496666666666666,55055
0.6514500000000001,54225
0.6531833333333333,54225
0.6548999999999999,54473
0.6566666666666666,53787
0.6583833333333333,54874
0.6601833333333332,54645
0.6618999999999999,54531
0.6636666666666666,55370
0.6653833333333333,54502
0.66715,53615
0.6690666666666666,54130
0.6708,55437
0.67255,53567
0.6743166666666667,54187
0.6760666666666667,53329
0.6778,53586
0.6795166666666667,54588
0.6812833333333334,54168
0.6830333333333333,54512
0.6847833333333334,53796
0.6865166666666667,55437
0.6882666666666667,54178
0.6899999999999999,55847
0.6917833333333333,54178
0.6935166666666667,54359
0.6952666666666667,55198
0.697,53329
0.69875,54206
0.7005166666666667,54473
0.7024,55999
0.7041666666666667,51965
0.7058833333333333,55780
0.7076833333333333,52709
0.7094,53977
0.7111333333333333,54521
0.7128833333333334,53424
0.7146166666666667,53834
0.7164,55017
0.7181166666666667,53300
0.7198833333333333,54855
0.7216,53091
0.7233666666666667,54750
0.7251166666666666,54292
0.7268833333333333,54903
0.7286,54798
0.7303666666666667,53920
0.7320833333333333,54426
0.7338833333333333,54283
0.7357333333333334,53157
0.7375,55322
0.7392166666666667,54731
0.7410166666666667,54254
0.7427333333333334,56238
0.7444833333333333,54302
0.7462166666666668,54082
0.7479666666666667,52852
0.7497333333333334,54016
0.7514833333333333,53281
0.7532166666666666,54531
0.7549666666666667,53920
0.7567,54435
0.7584833333333333,54893
0.7602166666666667,54759
0.7619666666666667,54845
0.7637,53300
0.76545,56257
0.7672166666666667,54016
0.7691,54388
0.7708333333333334,55198
0.7726166666666666,55589
0.77435,55294
0.7761,52890
0.7778166666666666,54655
0.7795833333333333,53977
0.7813333333333333,54988
0.7830999999999999,54473
0.7848166666666666,54798
0.7865833333333333,55389
0.7883,54292
0.7901,54969
0.7918166666666667,54616
0.7935833333333334,54569
0.7953,54473
0.7970666666666666,55503
0.7988166666666667,54092
0.8005833333333333,54941
0.8024333333333333,55837
0.8042,54903
0.8059499999999999,55160
0.8077000000000001,55913
0.8094333333333333,54206
0.8111833333333334,55723
0.8129166666666666,53615
0.8147,54883
0.8164333333333332,54845
0.8181833333333334,54225
0.8199166666666666,54712
0.8216666666666667,54349
0.8234333333333334,54769
0.8251833333333334,54674
0.8269166666666667,55341
0.8286666666666667,52871
0.8303999999999999,55770
0.8321833333333333,54664
0.8339166666666666,54597
0.8358000000000001,54025
0.8375333333333334,55227
0.8393166666666667,53739
0.8410333333333334,53091
0.8428,55179
0.8445166666666667,53949
0.8462833333333334,54893
0.8480333333333333,52881
0.8498,55103
0.8515166666666667,53558
0.8532833333333334,55303
0.855,54616
0.8568,55570
0.8585166666666667,53997
0.8602833333333333,54721
0.862,55370
0.8637666666666667,53834
0.8655166666666666,55103
0.8672833333333333,52719
0.8691333333333334,55770
0.8708833333333333,54903
0.87265,53882
0.8744,54101
0.8761333333333333,54149
0.8778833333333333,55131
0.8796166666666667,54912
0.8814,54826
0.8831333333333333,54206
0.8848833333333334,55513
0.8866166666666667,53853
0.8883666666666666,55351
0.8901333333333333,56056
0.8918833333333333,54168
0.8936166666666666,53300
0.8953666666666666,55036
0.8971,54893
0.8988833333333334,54512
0.9006166666666666,54292
0.9025,54054
0.90425,53920
0.9060166666666666,54740
0.9077333333333333,53339
0.9095,55665
0.9112166666666667,55217
0.9130166666666667,53262
0.9147333333333333,55198
0.9165,53911
0.9182166666666667,55074
0.9199833333333333,55952
0.9217333333333334,55551
0.9235,55131
0.9252166666666667,55246
0.9269833333333334,53176
0.9287,53901
0.9305,54254
0.9322166666666667,54512
0.9339833333333334,55160
0.9358333333333333,53234
0.9376166666666667,54512
0.9393499999999999,54178
0.9411,53901
0.9428333333333333,55437
0.9445833333333333,55274
0.94635,55055
0.9481000000000001,55332
