time (min),raw light scattering data: detector voltage  (V) detector 2,raw light scattering data: detector voltage  (V) detector 3,raw light scattering data: detector voltage  (V) detector 4,raw light scattering data: detector voltage  (V) detector 5,raw light scattering data: detector voltage  (V) detector 6,raw light scattering data: detector voltage  (V) detector 7,raw light scattering data: detector voltage  (V) detector 8,raw light scattering data: detector voltage  (V) detector 9,raw light scattering data: detector voltage  (V) detector 10,raw light scattering data: detector voltage  (V) detector 11,raw light scattering data: detector voltage  (V) detector 12,raw light scattering data: detector voltage  (V) detector 13,raw light scattering data: detector voltage  (V) detector 14,raw light scattering data: detector voltage  (V) detector 15,raw light scattering data: detector voltage  (V) detector 16,raw light scattering data: detector voltage  (V) detector 17,raw light scattering data: detector voltage  (V) detector 18,UV absorbance data: absorbance  (AU) channel 1,UV absorbance data: absorbance  (AU) channel 2,count rate: count rate  (Hz),count rate at corr. func.: count rate  (Hz),Forward Laser Monitor: Forward Laser Monitor  (V),Auto-inject Signal: Auto-inject Signal
0.0016,0.09542701346460238,0.03154309875786406,0.01535555134583585,0.00705061338743282,0.01710064971520316,0.0126248535179874,0.01062460393483219,0.009409881714877387,0.00912841730605767,0.009681394621919153,0.009760307605249785,0.009647084779765901,0.01000819937706516,0.01510576914573248,0.02005795157990609,0.01858481535281152,0.02814316998435862, , ,56885, ,0.9369770842752051, 
0.01013335761865112,0.09543056194891179,0.03156011619019194,0.01536987034989653,0.007069495931831897,0.01712548424211159,0.01263991566152842,0.01064304918349502,0.009420867551233194,0.009150242506121795,0.009693519567346839,0.009772587595327478,0.00965874324223525,0.01001653688450571,0.01511588952210131,0.02007353740070664,0.01858656523759443,0.02814470425757356,-4.557610252913983e-05,-4.311560889664142e-05,56243.69099595222, ,0.936982136576988, 
0.01866671523730225,0.09544227013914258,0.03157958768234594,0.01537106745764751,0.007068966907601306,0.01714165164043634,0.01264489394869284,0.01064523810810098,0.009419660770095187,0.009154941702615119,0.0096987484812593,0.009769884264987269,0.009660911957687273,0.01001840182646353,0.0151211260188739,0.02008089804504557,0.01857211617544786,0.02814450417856175,-4.673004150390624e-05,-4.196166992187501e-05,56385.06672135965,56646.96223847325,0.9369624603948672, 
0.02720007285595337,0.09548349593236925,0.0315941074813078,0.01537630498330409,0.007062225826303859,0.01713045094842083,0.01263747873442907,0.01063185953248245,0.0094033265076344,0.009142652063967872,0.009688325674200599,0.009759772603862914,0.009647222282211142,0.01000704561715405,0.01510624371434262,0.02006783068459608,0.01857123492688926,0.02813615582070268,-4.356380108492658e-05,-4.395482839890846e-05,56855.10091552147,56662.26108679354,0.9369533078500555, 
0.03573343047460449,0.09543813635075581,0.03158401685820446,0.01536949566317574,0.007062242024071175,0.01710715572560576,0.01262687763655978,0.01062296507387226,0.009403400213497231,0.009133494890790341,0.009683473743227342,0.009756528327295299,0.009643562965226917,0.01000069067037778,0.01509870795019353,0.0200538244310573,0.01857578940342352,0.02813030959177679,-4.054544966584142e-05,-4.009719494478988e-05,56525.86851171424,56677.55993511384,0.9369509975415151, 
0.04426678809325561,0.09541467354794027,0.03156098606663106,0.01536176697482148,0.007046712568833162,0.01709745059075448,0.0126192105775476,0.01062132030806983,0.009407619187495957,0.009133099863950677,0.009682817448326324,0.009753953211053823,0.009646432969973362,0.01000402613110181,0.01510456632623475,0.02005126501066266,0.01857722786564742,0.02813249234354149,-4.078389951132616e-05,-4.252444198983217e-05,57310.84643100447,56692.85878343412,0.9369524954789022, 
0.05280014571190674,0.0954099301149927,0.03156607940525944,0.01535153629640893,0.007044560078879705,0.01709746759606012,0.01261839595584848,0.01062659486351048,0.009402691971850443,0.009137457507157536,0.009682917067864741,0.009758615186257626,0.009648607160266312,0.01000744078590787,0.01510429448491253,0.02005850886019625,0.01857489501849029,0.02813378672372339,-4.191873373338101e-05,-5.071648352350595e-05,56286.94045100031,56685.09158169151,0.9369537521981937, 
0.06133350333055786,0.09540008769165122,0.03155527978138754,0.01534821105698179,0.007049223892244269,0.01708703764611256,0.01261185696486192,0.01062093822466455,0.009396309935026947,0.00912614945075957,0.009679283097315677,0.009754047839137515,0.009645025045319054,0.01000059173784576,0.01509998417131851,0.02005580374940934,0.01856726444723548,0.02812884833739483,-4.069802713433869e-05,-5.104534483075033e-05,55637.35849859965,56658.21861261465,0.9369529397596267, 
0.06986686094920899,0.09539482483752679,0.0315486691216283,0.01535618412894024,0.007051862819663539,0.01709744674675096,0.01261946962409436,0.01062653005269061,0.00940288798945863,0.00913220931883192,0.009682334798901177,0.009758499544766026,0.009647402701699523,0.01000416175432363,0.0151100836166174,0.02006123228398886,0.0185733681709414,0.02813390727720253,-3.794664546512361e-05,-4.547587640081063e-05,56794.20702931043,56631.34564353779,0.9369520001176647, 
0.07840021856786011,0.09539072269983487,0.03156468740997432,0.01535801769117038,0.007056402399187194,0.0171129895741085,0.01263641366071901,0.01063691779752938,0.009413780494532816,0.009148906534108499,0.00969027485405473,0.009767010709736077,0.009656483110211483,0.01001376474575053,0.01511927770805331,0.02006814931563405,0.01857513471683385,0.02813775275583406,-3.634926530344103e-05,-4.397865983469099e-05,55876.49657482401,56604.47267446094,0.9369407278183801, 
0.08693357618651124,0.09538899727270034,0.03156637590098452,0.01535173110029222,0.007057768783054746,0.01710592966219106,0.01263499412639442,0.01063435245428858,0.009415671540784602,0.009155204593434765,0.009694759383657119,0.009765584052556602,0.009659308086017353,0.01001617582791769,0.01511402760105188,0.02006887511782687,0.01857497528210008,0.02813372864648664,-3.814230850594539e-05,-4.291534423828141e-05,56875.67279560611,56555.43273327085,0.9369436094257309, 
0.09546693380516236,0.09538915527432375,0.03156397356730275,0.01535773640364521,0.007059499223342803,0.01711136939619514,0.01263233236432277,0.01063588531187507,0.009419690082770252,0.009162281390800813,0.009701008460521833,0.009771625778778079,0.009660890045857313,0.01001853662206654,0.01512049890734034,0.02007411536608248,0.0185844116038837,0.0281370727405101,-4.090316785960072e-05,-4.116523722427073e-05,57278.55949398229,56493.86020501847,0.9369450823825471, 
0.1040002914238135,0.09538666390207333,0.03156511598706978,0.01535582258100189,0.007055748470469577,0.01710985318816719,0.01263168990039028,0.01063272168378651,0.009417419668138898,0.009146375958269551,0.009699979651078978,0.009766500015976266,0.009655298715692564,0.0100142901123183,0.01511755006637596,0.0200661920356502,0.01857598443578781,0.02813928575485626,-4.010192162786084e-05,-4.00543212890625e-05,56538.12999870138,56432.28767676609,0.936958004901877, 
0.1125336490424646,0.09538154804618131,0.0315681970339648,0.01535080046739681,0.00705834010764562,0.0171044288536255,0.0126308476487342,0.01063414670233845,0.009412250534164146,0.009139338176845454,0.00969128654341558,0.009762733279758533,0.009652360997336535,0.01001534768406535,0.01510448886517417,0.02005845553701788,0.01857077817732147,0.02813980162819967,-3.959673826740204e-05,-4.149927336607842e-05,56812.32218564041,56370.71514851371,0.9369614323494646, 
0.1210670066611157,0.09536196610287374,0.03156638395657732,0.01534885749431059,0.007046972811164135,0.01709911273247353,0.01261496046368888,0.01062412178997342,0.009404872097508329,0.0091334638323359,0.009684737403191476,0.009750272560615489,0.00964435988897923,0.01000584227601475,0.01510187193394215,0.02004753421912709,0.01856592625459116,0.02815235730395932,-4.57050847967497e-05,-4.468455600500316e-05,55857.63823855937,56371.44549573809,0.9369645934585888, 
0.1296003642797668,0.09579421991895987,0.03159003513049562,0.01535908105701461,0.007047711192503043,0.01711346151416601,0.01262501207605837,0.01062408758465074,0.009404127647422813,0.009130182485795306,0.00968627073724454,0.009747761042546656,0.009642575524661683,0.01000503833661156,0.01510556455272808,0.02005577780651476,0.01857740356712584,0.02817065758316302,-5.162249496834697e-05,-4.923830917733165e-05,55667.8400413871,56395.13791820853,0.9369729844855609, 
0.138133721898418,0.095920436655564,0.03163795628026007,0.01537744450432538,0.007056741349908925,0.01712631821838437,0.01264116284705717,0.01063014024595548,0.009406350893978286,0.009140755694684526,0.00968626268664265,0.009759730800568571,0.009650760450885117,0.010011457700827,0.01510718238648252,0.02006669810140791,0.01857868821795703,0.02815736540384214,-5.197525024414074e-05,-5.299601527078304e-05,55781.66885438605,56418.83034067896,0.9369830882937588, 
0.1466670795170691,0.09536582522767655,0.03155822213215007,0.01534275824777159,0.007041777154415808,0.01709984281716272,0.01261023364006672,0.01061640583934507,0.009396026240227028,0.009131931613567706,0.009677755563987705,0.009758224640891992,0.009643445314063578,0.009996264745352866,0.01509670882055517,0.02004466072203352,0.01855202033231064,0.02814697480691672,-5.471724107997967e-05,-5.96048810102855e-05,55796.48180146909,56442.52276314941,0.9369737328732516, 
0.1552004371357202,0.09536724395672332,0.0315575191029419,0.01534466164771675,0.007047497918629788,0.01710382434258772,0.01261280508971307,0.01062872057992689,0.009410463649315786,0.009137812614739584,0.009688097217511894,0.009770640615479697,0.009648446227665714,0.01000251095611596,0.01510483351781026,0.02005315991515715,0.0185548647511207,0.02815943465394573,-5.597102056434977e-05,-6.457824393374818e-05,55948.05626438753,56525.798251001,0.9369703433723239, 
0.1637337947543713,0.09537703529091757,0.03155945131864411,0.01535262803081779,0.007053711626679192,0.01710914401943172,0.01262917510472659,0.01063959630940182,0.009413511239418504,0.00913883843243809,0.009689848441484105,0.009772909965776046,0.009653308734712557,0.01000737266319785,0.01510434861991876,0.02004919504222739,0.01856438398443008,0.02816888874707175,-5.109277146742009e-05,-6.384352909138929e-05,57430.90699904335,56621.92601461349,0.9369645037182979, 
0.1722671523730225,0.09538326604419387,0.03154380909399484,0.01533904723964112,0.00704922231101766,0.01709272986695276,0.0126213738348379,0.01062664053631696,0.009402979777964409,0.009131052787506189,0.009684349603534004,0.009761863646926789,0.009649520853146971,0.009996536420549302,0.01509771416396667,0.02004235280364573,0.01857069633313341,0.02813957366076369,-4.635313170637121e-05,-5.926104409807824e-05,56394.07282709953,56718.05377822598,0.9369537010446284, 
0.1808005099916736,0.09539704508609313,0.03154226483628664,0.0153457661015338,0.007054548704466642,0.01710396905684279,0.01263440391246647,0.01063323021081639,0.009409459122564445,0.009145930949015883,0.0096912969423723,0.009767100493681688,0.009659890625770325,0.01000571557236238,0.0151157870066715,0.02006055490373736,0.01857898664941451,0.02813303344988649,-4.696376466631989e-05,-5.650989866375823e-05,62738.72859422716,56814.18154183847,0.936946897014152, 
0.1893338676103247,0.0954163134063738,0.0315483423541151,0.01535767182883319,0.007057598302163455,0.01711364197091628,0.01263806820786314,0.01063503041287359,0.009408512685691994,0.009146332948094832,0.009687550199355941,0.009767450079828537,0.009661588242674725,0.01001016101232112,0.0151187735647846,0.0200543053422889,0.01857092463385073,0.02813740378532871,-4.870914499725976e-05,-5.729221384491601e-05,57010.35200590413,56789.12209805975,0.9369426698474895, 
0.1978672252289758,0.09541414501370823,0.03154912282497915,0.01535170842937453,0.007049481050412231,0.01709404724046455,0.01262587315248299,0.0106227252171796,0.009395529261945611,0.009132104288100417,0.009676278838410645,0.00975721572780055,0.009646894503923135,0.009996764678339019,0.01509995005503427,0.02003726197388364,0.01856118729192468,0.02813034284243578,-5.208031422490366e-05,-5.989559534487361e-05,56879.29098266733,56752.7238052986,0.936939127599708, 
0.206400582847627,0.09538444577366063,0.03154546091756091,0.01534577754499403,0.007046017488455504,0.01708813136255039,0.01261784347757361,0.01061981162203075,0.009392656904963156,0.009130992419406497,0.009673097832844962,0.009749212952642803,0.009643557399846479,0.009992031036972302,0.01509666108297939,0.0200411208118088,0.01856207774991985,0.02812478393074127,-5.348690741266639e-05,-6.182653917857176e-05,56626.78880635774,56716.32551253745,0.9369277285134612, 
0.2149339404662781,0.09537337168169321,0.03154833936273886,0.01535007015472807,0.007048425902814488,0.01708676511671855,0.01261354031502485,0.01062028697536563,0.009396455995356729,0.00913204362037227,0.009676740129628677,0.009750624939036822,0.009643103353623575,0.009997486860813507,0.01509556250489113,0.02004477204584411,0.01856988299115784,0.0281263274572368,-5.401125805860324e-05,-5.773509571097662e-05,56831.4582170087,56680.8734078321,0.9369242248951778, 
0.2234672980849292,0.09537633463124918,0.03156025104276503,0.01535226588938995,0.007053256563560654,0.01709259357392751,0.01262335609380503,0.01062792257247959,0.009405697449030675,0.009130395746045046,0.009684841106461345,0.00975405937640822,0.00964975257619115,0.01000553622780539,0.01510429214837092,0.02004956668208702,0.01857052724382596,0.02812656764419458,-5.203696809938558e-05,-5.469790009237345e-05,56532.68730266032,56794.37285403616,0.9369215200320689, 
0.2320006557035803,0.09537868159422584,0.0315705015825222,0.01535334126432617,0.007055626612950142,0.01710748359943649,0.01263652992407673,0.01064034533390036,0.009416082566575577,0.00914108872330844,0.009694607728587223,0.009765278799503421,0.009661644190000301,0.01001354369695442,0.01511589058474729,0.02006164227164595,0.01857636219901048,0.028127596954336,-4.57995524513628e-05,-5.517024680240093e-05,56305.47318118092,56907.87230024021,0.9369057546534176, 
0.2405340133222315,0.09539498718958256,0.03156703537295413,0.01535228274235123,0.007047890369269808,0.01710305218335112,0.01262645282149337,0.01063135927618121,0.009407979785487457,0.009135838330311213,0.009689304563131012,0.009760494219810395,0.009649289204288128,0.01000564737865691,0.01511503950861101,0.02005886521950342,0.0185790838473794,0.02812605272239292,-4.053115844726666e-05,-5.722045898437465e-05,57937.37770040105,57021.37174644427,0.936904804245048, 
0.2490673709408826,0.09543236930556022,0.03157557970722664,0.0153551151882918,0.007045409686265621,0.01710614597625183,0.01262905069240361,0.01062535521689129,0.009402580611440708,0.009131587866677809,0.009683326992386993,0.009756485081042463,0.009644868547503082,0.009998935217537207,0.01511409323012058,0.02005249002577925,0.01857518819235851,0.0281164934332581,-3.959168849837071e-05,-5.534151908658517e-05,56009.94211318999,57122.88356266863,0.9369249497969206, 
